SE  60.128161 18.643501
JM  18.109581 -77.297508
AM  40.069099 45.038189
IQ  33.223191 43.679291
MA  42.4072107 -71.3824374
CO  39.5500507 -105.7820674
AD  42.506285 1.521801
RU  61.52401 105.318756
KW  29.31166 47.481766
SA  -30.0002315 136.2091547
IT  41.87194 12.56738
AW  12.52111 -69.968338
TG  8.619543 0.824782
MK  41.608635 21.745275
GT  15.783471 -90.230759
LU  34.0522342 -118.2436849
FO  61.892635 -6.911806
UG  1.373333 32.290275
LV  56.879635 24.603189
JE  49.214439 -2.13125
BH  26.0667 50.5577
AF  33.93911 67.709953
LY  26.3351 17.228331
MV  1.9772469 73.5361034
PG  -6.314993 143.95555
NE  41.4925374 -99.9018131
MZ  -18.665695 35.529562
WS  -13.759029 -172.104629
VE  6.42375 -66.58973
NA  40.901975 14.332644
RS  -30.0346316 -51.2176986
BT  22.7241458 88.4838656
CA  36.778261 -119.4179324
PK  30.375321 69.345116
MU  -20.348404 57.552152
LI  47.166 9.555373
NG  9.081999 8.675277
DK  56.26392 9.501785
PT  39.399872 -8.224454
LK  7.873054 80.771797
DZ  28.033886 1.659626
SY  34.802075 38.996815
BO  -16.290154 -63.588653
LB  33.854721 35.862285
AR  35.20105 -91.8318334
PW  7.51498 134.58252
AL  32.3182314 -86.902298
CU  21.521757 -77.781167
CM  7.369722 12.354722
EG  26.820553 30.802498
SC  33.836081 -81.1637245
CR  9.748917 -83.753428
IL  40.6331249 -89.3985283
MO  37.9642529 -91.8318334
FR  46.227638 2.213749
SG  1.352083 103.819836
GF  3.933889 -53.125782
SZ  -26.522503 31.465866
BE  50.503887 4.469936
VN  14.058324 108.277199
MN  46.729553 -94.6858998
AZ  34.0489281 -111.0937311
DE  38.9108325 -75.5276699
BD  23.684994 90.356331
PH  12.879721 121.774017
BA  41.1171231 16.8719764
PL  51.919438 19.145136
MR  21.00789 -10.940835
IR  32.427908 53.688046
CI  7.539989 -5.54708
BY  53.709807 27.953389
ER  15.179384 39.782334
BW  -22.328474 24.684866
CN  35.86166 104.195397
KY  37.8393332 -84.2700179
BS  25.03428 -77.39628
EE  58.595272 25.013607
VI  18.335765 -64.896335
GU  13.444304 144.793731
US  37.09024 -95.712891
LA  19.85627 102.495496
SM  43.94236 12.457777
CD  -4.038333 21.758664
PR  18.220833 -66.590149
GH  7.946527 -1.023194
MM  21.916221 95.955974
HN  15.199999 -86.241905
UY  -32.522779 -55.765835
UN  29.583629 77.2591938
IS  64.963051 -19.020835
MT  46.8796822 -110.3625658
RO  45.943161 24.96676
JO  30.585164 36.238414
SD  43.9695148 -99.9018131
TN  35.5174913 -86.5804473
HK  22.396428 114.109497
NI  12.865416 -85.207229
PF  -17.679742 -149.406843
NP  28.394857 84.124008
BG  42.733883 25.48583
ZW  -19.015438 29.154857
TW  23.69781 120.960515
NL  52.132633 5.291266
IN  20.593684 78.96288
CL  -35.675147 -71.542969
TM  38.969719 59.556278
TH  15.870032 100.992541
AE  23.424076 53.847818
BZ  17.189877 -88.49765
DM  15.414999 -61.370976
BM  32.3078 -64.7505
UA  48.379433 31.16558
DO  18.735693 -70.162651
NC  35.7595731 -79.0192997
KG  41.20438 74.766098
PY  -23.442503 -58.443832
MD  39.0457549 -76.6412712
FJ  -17.713371 178.065032
FI  61.92411 25.748151
GI  36.140751 -5.353585
NO  60.472024 8.468946
PS  31.952162 35.233154
ES  40.463667 -3.74922
TR  38.963745 35.243322
SV  13.794185 -88.89653
BF  12.238333 -1.561593
ME  45.253783 -69.4454689
GL  71.706936 -42.604303
JP  36.204824 138.252924
GE  42.315407 43.356892
BN  4.535277 114.727669
MG  -18.512178 -44.5550308
HR  45.1 15.2
NZ  -40.900557 174.885971
LT  41.4087476 13.0817903
MW  -13.254308 34.301525
KH  12.565679 104.990963
HU  47.162494 19.503304
SO  5.152149 46.199616
CY  35.126413 33.429859
TZ  -6.369028 34.888822
CZ  49.817492 15.472962
YE  15.552727 48.516388
QA  25.354826 51.183884
PA  41.2033216 -77.1945247
UZ  41.377491 64.585262
KR  35.907757 127.766922
ZM  -13.133897 27.849332
BR  -14.235004 -51.92528
MY  4.210484 101.975766
GM  13.443182 -15.310139
MC  43.7384176 7.4246158
SK  48.669026 19.699024
EU  50.04887 1.419597
RW  -1.940278 29.873888
CH  46.818188 8.227512
CW  12.16957 -68.99002
PE  -8.8137173 -36.954107
GR  39.074208 21.824312
ZA  -30.559482 22.937506
KZ  48.019573 66.923684
ET  9.145 40.489673
GB  55.378051 -3.435973
AT  47.516231 14.550072
AO  47.516231 14.550072
OM  21.4735329 55.975413
KP  40.339852 127.510093
TT  10.691803 -61.222503
GQ  1.650801 10.267895
BJ  9.30769 2.315834
MX  23.634501 -102.552784
HT  18.971187 -72.285215
ML  17.570692 -3.996166
EC  -1.831239 -78.183406
AI  18.220554 -63.068615
AU  -25.274398 133.775136
KM  -11.6455 43.3333
ID  44.0682019 -114.7420408
KE  -0.023559 37.906193
TJ  38.861034 71.276093
IE  53.41291 -8.24389
SI  46.151241 14.995463
VG  18.420695 -64.639968
LS  -29.609988 28.233608
CK  -21.236736 -159.777671
AG  17.060816 -61.796428
GA  32.1656221 -82.9000751
MH  6.0683017 171.9425583
KI  1.8708833 -157.3630262
SB  -9.64571 160.156194
AS  -14.3060204 -170.6961815
TO  -21.178986 -175.198242
VU  -15.376706 166.959158
DJ  11.825138 42.590275
TL  -8.874217 125.727539
